,owner_id,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11,player12,player13,player14,player15,player16
0,872731530332684288,11533, 2309, 2449, 3294, 4018, 4035, 4066, 4137, 4881, 7564, 8136, 8155, 9221, 9756, PIT,
1,872611509409386496,2133, 2747, 4034, 5844, 5937, 6768, 6813, 7526, 8110, 8143, 8146, 8150, 9511, BAL, JAX,
2,872683498824224768,1348, 1479, 1689, 2251, 2374, 3198, 5001, 5892, 6790, 6794, 7543, 7547, 8151, 9758, 9997, DAL
3,1002785068257038336,10859, 4199, 4663, 4666, 4983, 4984, 6786, 6819, 7523, 7611, 8144, 8205, 9226, 9493, TB,
4,1002961048057507840,1426, 2028, 4981, 5846, 5848, 5859, 6904, 7528, 7588, 7839, 8130, 8154, 9502, 9509, SF,
5,872622517016297472,1264, 2216, 3225, 4033, 4037, 4046, 4217, 4866, 5119, 5850, 6828, 7525, 8112, 9753, NYJ,
6,873031815919771648,1373, 1466, 2749, 3321, 4227, 5947, 5987, 6130, 6803, 7569, 8121, 8162, 8167, 8228, CLE,
7,1003101664250933248,4039, 4195, 4950, 5012, 5022, 5872, 5927, 5967, 6783, 6797, 6826, 6845, 8138, 8259, KC, TEN
