,id,week_1_pts_ppr,week_2_pts_ppr,week_3_pts_ppr,week_4_pts_ppr,week_5_pts_ppr,week_6_pts_ppr,week_7_pts_ppr,week_8_pts_ppr,week_9_pts_ppr,week_10_pts_ppr,week_11_pts_ppr,week_12_pts_ppr,week_13_pts_ppr,week_14_pts_ppr,week_15_pts_ppr,week_16_pts_ppr,week_17_pts_ppr,week_18_pts_ppr
38,4983,13.95,25.71,12.73,11.89,17.17,14.02,13.52,12.37,10.28,11.12,13.29,11.78,16.11,13.35,22.12,21.72,22.51,23.0
39,4984,23.79,8.19,10.8,24.61,13.02,13.86,12.27,12.13,8.77,13.36,22.62,11.84,12.86,24.21,11.03,12.53,12.69,12.43
40,5001,7.81,12.38,9.07,6.28,15.31,24.46,14.41,13.57,11.06,14.15,9.87,13.35,11.31,9.05,12.61,12.58,12.74,12.48
41,5022,10.13,10.76,14.4,12.49,11.98,7.48,17.0,23.58,11.95,14.19,12.93,22.23,12.41,10.28,22.15,14.51,14.21,13.71
42,5119,8.58,7.52,13.02,10.5,12.26,12.11,12.33,7.94,11.14,12.64,8.92,9.13,11.87,9.59,9.84,21.5,22.34,21.03
43,5844,11.83,11.36,10.3,8.84,14.48,10.19,10.38,12.56,12.58,12.31,15.75,8.5,14.9,12.98,10.41,9.21,9.46,9.42
44,5846,13.73,13.08,14.24,11.42,11.13,9.66,11.15,10.65,16.53,12.59,12.97,16.27,11.42,11.78,9.1,10.67,10.8,10.15
45,5848,10.61,10.36,16.53,14.33,5.64,14.71,10.18,8.79,12.53,11.62,13.23,12.94,21.92,14.38,12.39,8.58,8.4,8.58
46,5850,15.61,15.14,16.73,9.99,23.22,13.06,20.68,13.15,12.84,11.72,14.28,12.42,8.17,16.53,12.57,13.51,13.69,13.1
47,5859,16.89,17.31,12.24,13.6,10.57,13.45,10.94,13.66,12.23,14.48,19.19,13.46,18.77,13.91,12.04,13.08,13.08,13.36
48,5872,12.85,13.06,10.62,16.88,16.52,16.11,14.88,12.33,13.49,12.27,13.75,17.89,12.92,11.62,13.66,13.05,12.39,13.05
49,5892,12.56,11.09,16.91,11.21,13.07,16.39,20.29,15.2,9.14,10.21,10.91,12.26,20.88,10.73,16.74,14.24,14.82,14.43
50,5927,12.37,10.74,11.32,8.7,21.77,12.37,15.59,18.29,9.72,11.13,13.53,12.99,13.47,9.18,14.19,17.17,17.38,16.32
51,5937,12.6,16.1,4.87,11.17,14.18,14.34,11.85,12.29,20.37,18.01,10.32,12.23,14.16,14.56,11.36,12.97,12.97,13.3
52,5947,8.98,12.18,20.28,11.33,11.4,12.53,12.7,11.56,16.14,20.09,10.28,10.48,11.76,12.59,12.82,10.65,10.51,10.98
53,5967,15.61,7.39,12.06,18.17,13.63,12.07,8.01,13.09,13.2,13.06,15.2,8.83,14.28,7.19,10.99,12.82,13.12,13.12
54,5987,13.41,20.57,18.86,12.15,7.97,16.57,6.52,16.63,18.97,15.68,9.52,16.28,23.73,22.27,11.16,11.45,11.51,11.35
55,6130,6.07,11.96,11.94,6.11,10.07,11.8,8.42,9.21,13.34,14.2,12.9,10.56,20.95,8.75,14.67,10.75,11.19,10.9
56,6768,19.27,16.79,20.26,21.57,6.64,4.46,24.62,4.62,13.67,8.66,21.92,10.08,13.56,18.7,12.02,14.17,14.67,14.73
57,6786,17.03,10.79,21.12,12.31,25.77,22.4,18.77,21.23,7.67,5.95,9.24,18.95,15.96,13.3,8.63,13.1,13.27,12.7
58,6790,12.23,19.88,13.98,15.9,19.51,11.51,13.83,9.53,6.92,4.62,18.09,8.55,12.69,18.06,21.15,8.51,8.74,8.71
59,6794,21.28,22.43,7.89,11.95,14.7,17.08,14.72,16.52,8.0,19.44,13.59,19.37,14.51,19.02,9.06,19.93,19.5,19.93
60,6797,21.5,13.11,11.07,21.22,14.33,13.36,10.67,15.14,24.35,11.89,20.81,13.93,18.51,14.13,17.42,9.89,9.85,9.85
61,6803,12.09,13.67,11.31,23.43,11.11,21.64,15.84,21.4,13.26,15.84,13.96,19.92,14.3,13.43,15.02,16.83,17.42,17.5
62,6819,11.42,8.25,23.59,13.25,13.32,12.67,16.98,13.72,14.95,18.45,8.83,14.79,11.93,8.62,18.81,15.4,15.59,14.65
63,6826,7.23,12.42,21.2,15.05,18.14,9.92,11.85,14.39,10.53,17.8,7.19,16.77,12.91,7.05,19.74,20.5,20.77,19.88
64,6828,9.05,10.56,14.76,7.33,11.83,13.19,11.17,14.13,20.56,13.23,23.11,15.37,13.07,12.38,14.42,19.4,19.4,19.23
65,6904,24.84,24.69,9.76,8.09,10.8,8.39,12.12,7.97,10.3,12.9,19.02,9.85,6.69,24.35,17.33,13.17,13.17,13.51
66,7523,21.63,21.86,14.31,12.67,9.06,9.36,9.4,7.55,10.63,8.97,12.59,9.97,9.39,13.26,13.12,17.9,17.98,18.54
67,7525,14.0,15.09,16.29,24.09,9.6,24.4,6.22,6.67,8.66,10.08,14.83,3.89,11.3,14.24,8.42,13.55,13.61,14.04
68,7526,13.32,13.55,19.19,19.38,10.59,22.11,12.13,24.35,8.37,12.77,10.18,24.66,8.88,11.48,8.0,9.69,9.48,9.16
69,7528,12.64,11.95,11.47,14.72,10.53,13.16,10.25,20.39,9.25,8.39,16.45,21.36,10.68,12.95,4.97,7.97,7.73,8.04
70,7543,13.59,14.06,11.42,13.86,2.55,15.17,11.09,13.26,8.99,10.07,18.56,13.43,15.31,15.32,24.66,5.14,5.16,5.32
71,7547,17.29,17.46,11.83,11.96,13.01,16.68,13.48,14.18,13.25,14.46,18.36,14.28,10.57,16.06,13.43,25.28,25.59,24.04
72,7564,20.22,19.96,8.56,13.38,13.32,15.73,16.13,10.56,11.63,12.44,12.13,11.2,13.67,14.17,15.52,20.77,21.04,20.59
73,7569,10.15,9.4,7.98,15.87,13.6,19.96,9.8,16.19,10.94,10.17,15.68,14.84,12.03,12.89,11.76,13.77,13.94,13.1
74,7588,10.44,11.4,13.12,19.19,13.26,12.56,17.32,18.66,14.65,13.36,7.19,19.04,15.28,11.43,13.32,14.63,14.32,14.63
75,7611,14.26,14.39,9.19,11.98,11.12,11.15,11.93,20.1,14.05,13.95,9.7,16.29,10.27,9.32,16.56,12.25,12.31,12.14
76,7839,9.48,9.03,4.0,11.99,10.26,10.99,12.76,12.54,12.4,12.32,9.73,13.31,11.43,9.35,17.39,15.2,15.39,15.07
77,8110,7.7,7.96,11.55,11.84,18.89,9.3,9.38,11.02,7.98,8.92,13.4,13.33,18.85,11.45,15.48,15.53,15.32,16.01
78,8112,13.12,11.16,12.74,8.72,11.53,8.79,7.73,12.15,13.59,14.38,12.63,13.09,8.62,9.17,13.03,17.85,17.69,18.08
79,8121,8.72,11.19,11.99,9.0,12.91,11.81,15.3,7.94,16.96,18.41,10.16,8.07,13.98,14.48,9.08,15.27,15.69,15.62
80,8130,6.12,5.58,13.42,10.87,8.67,2.46,14.55,8.97,9.43,8.72,10.47,9.69,11.74,12.97,8.71,13.49,13.44,13.44
