,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
47,47,Mark Andrews,BAL,28,TE,5,4,34,24,70.6%,294,12.3,3,15,58.8,38,8.6,4.8,58.8,0
48,48,Zach Ertz,ARI,33,TE,6,6,39,24,61.5%,168,7.0,1,7,41.0,17,4.3,4.0,28.0,0
49,49,Travis Etienne,JAX,24,RB,7,7,29,24,82.8%,196,8.2,0,9,58.6,22,6.8,3.4,28.0,0
50,50,Mike Evans,TAM,30,WR,5,5,41,24,58.5%,386,16.1,3,15,56.1,70,9.4,4.8,77.2,0
51,51,Jaylen Waddle,MIA,25,WR,5,5,35,24,68.6%,296,12.3,2,16,54.3,35,8.5,4.8,59.2,0
52,52,Tyler Lockett,SEA,31,WR,5,5,35,23,65.7%,251,10.9,2,12,60.0,36,7.2,4.6,50.2,0
53,53,Christian McCaffrey,SFO,27,RB,6,6,27,23,85.2%,177,7.7,2,13,66.7,19,6.6,3.8,29.5,2
54,54,D'Andre Swift,PHI,24,RB,6,5,27,23,85.2%,115,5.0,1,4,48.1,11,4.3,3.8,19.2,1
55,55,Jordan Addison,MIN,21,WR,6,3,34,22,64.7%,277,12.6,4,12,47.1,62,8.1,3.7,46.2,0
56,56,Amari Cooper,CLE,29,WR,5,5,39,22,56.4%,367,16.7,1,16,51.3,58,9.4,4.4,73.4,1
57,57,D.K. Metcalf,SEA,26,WR,5,5,32,22,68.8%,337,15.3,2,18,68.8,34,10.5,4.4,67.4,0
58,58,George Pickens,PIT,22,WR,5,5,40,22,55.0%,393,17.9,2,14,47.5,71,9.8,4.4,78.6,1
59,59,Kyle Pitts,ATL,23,TE,6,4,38,22,57.9%,251,11.4,1,13,50.0,34,6.6,3.7,41.8,0
60,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
61,60,Wan'Dale Robinson,NYG,22,WR,4,1,25,22,88.0%,141,6.4,0,10,56.0,13,5.6,5.5,35.3,0
62,61,Robert Woods,HOU,31,WR,6,6,43,22,51.2%,227,10.3,1,15,41.9,25,5.3,3.7,37.8,0
63,62,Gabriel Davis,BUF,24,WR,6,6,30,21,70.0%,341,16.2,4,16,66.7,40,11.4,3.5,56.8,1
64,63,Romeo Doubs,GNB,23,WR,5,4,37,21,56.8%,228,10.9,3,14,40.5,30,6.2,4.2,45.6,0
65,64,Jake Ferguson,DAL,24,TE,6,5,29,21,72.4%,190,9.0,1,9,55.2,21,6.6,3.5,31.7,0
66,65,Elijah Moore,CLE,23,WR,5,3,36,21,58.3%,167,8.0,0,7,38.9,33,4.6,4.2,33.4,1
67,66,Rashee Rice,KAN,23,WR,6,0,28,21,75.0%,245,11.7,2,13,60.7,28,8.8,3.5,40.8,0
68,67,Dalton Schultz,HOU,27,TE,6,1,34,21,61.8%,215,10.2,3,11,47.1,31,6.3,3.5,35.8,0
69,68,Jaylen Warren,PIT,25,RB,5,0,25,21,84.0%,166,7.9,0,7,44.0,30,6.6,4.2,33.2,1
70,69,Tyler Conklin,NYJ,28,TE,6,5,27,20,74.1%,227,11.4,0,8,44.4,37,8.4,3.3,37.8,0
71,70,Tyler Higbee,LAR,30,TE,6,6,32,20,62.5%,234,11.7,0,11,53.1,33,7.3,3.3,39.0,0
72,71,Jerry Jeudy,DEN,24,WR,5,4,29,20,69.0%,222,11.1,0,11,41.4,46,7.7,4.0,44.4,1
73,72,Deebo Samuel,SFO,27,WR,6,6,32,20,62.5%,302,15.1,1,12,53.1,42,9.4,3.3,50.3,1
74,73,Rashid Shaheed,NOR,25,WR,7,3,35,20,57.1%,326,16.3,2,13,45.7,51,9.3,2.9,46.6,1
75,74,Tank Dell,HOU,24,WR,5,3,28,19,67.9%,324,17.1,2,13,57.1,68,11.6,3.8,64.8,1
76,75,David Njoku,CLE,27,TE,5,5,22,19,86.4%,162,8.5,0,6,59.1,29,7.4,3.8,32.4,1
77,76,Josh Reynolds,DET,28,WR,6,5,27,19,70.4%,341,17.9,3,18,70.4,33,12.6,3.2,56.8,0
78,77,Logan Thomas,WAS,32,TE,5,5,26,19,73.1%,185,9.7,2,10,65.4,27,7.1,3.8,37.0,1
79,78,Mike Williams,LAC,29,WR,3,3,26,19,73.1%,249,13.1,1,9,53.8,49,9.6,6.3,83.0,0
80,79,Michael Gallup,DAL,27,WR,6,6,32,18,56.3%,204,11.3,0,8,43.8,29,6.4,3.0,34.0,0
81,80,Hunter Henry,NWE,29,TE,6,5,28,18,64.3%,183,10.2,2,11,64.3,21,6.5,3.0,30.5,0
82,81,George Kittle,SFO,30,TE,6,6,25,18,72.0%,216,12.0,3,10,52.0,38,8.6,3.0,36.0,0
83,82,Alexander Mattison,MIN,25,RB,6,6,28,18,64.3%,104,5.8,2,3,32.1,16,3.7,3.0,17.3,1
84,83,Raheem Mostert,MIA,31,RB,6,6,20,18,90.0%,145,8.1,2,5,60.0,22,7.3,3.0,24.2,3
85,84,Luke Musgrave,GNB,23,TE,5,4,23,18,78.3%,159,8.8,0,5,47.8,37,6.9,3.6,31.8,0
86,85,Michael Wilson,ARI,23,WR,6,5,22,18,81.8%,317,17.6,2,14,68.2,69,14.4,3.0,52.8,0
87,86,Braxton Berrios,MIA,28,WR,6,0,20,17,85.0%,179,10.5,1,12,60.0,22,9.0,2.8,29.8,0
88,87,Jahan Dotson,WAS,23,WR,6,6,31,17,54.8%,140,8.2,1,7,38.7,18,4.5,2.8,23.3,0
89,88,Dalton Kincaid,BUF,24,TE,5,3,19,17,89.5%,118,6.9,0,4,68.4,14,6.2,3.4,23.6,0
90,89,Chigoziem Okonkwo,TEN,24,TE,6,4,26,17,65.4%,122,7.2,0,5,38.5,20,4.7,2.8,20.3,0
91,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
92,90,K.J. Osborn,MIN,26,WR,6,5,31,17,54.8%,214,12.6,2,11,38.7,36,6.9,2.8,35.7,0
93,91,Isiah Pacheco,KAN,24,RB,6,5,19,17,89.5%,135,7.9,0,4,57.9,33,7.1,2.8,22.5,0
94,92,Samaje Perine,DEN,28,RB,6,1,20,17,85.0%,184,10.8,0,7,70.0,29,9.2,2.8,30.7,2
95,93,Allen Robinson,PIT,30,WR,5,5,26,17,65.4%,137,8.1,0,4,46.2,31,5.3,3.4,27.4,0
96,94,Darius Slayton,NYG,26,WR,6,4,30,17,56.7%,236,13.9,0,11,43.3,31,7.9,2.8,39.3,0
97,95,Rhamondre Stevenson,NWE,25,RB,6,6,24,17,70.8%,111,6.5,0,4,29.2,32,4.6,2.8,18.5,0
98,96,Kadarius Toney,KAN,24,WR,6,2,25,17,68.0%,92,5.4,1,8,40.0,17,3.7,2.8,15.3,1
99,97,Nelson Agholor,BAL,30,WR,6,2,20,16,80.0%,210,13.1,1,10,60.0,30,10.5,2.7,35.0,1
100,98,Parris Campbell,NYG,26,WR,6,3,23,16,69.6%,85,5.3,0,1,34.8,17,3.7,2.7,14.2,0
101,99,Gerald Everett,LAC,29,TE,5,4,19,16,84.2%,123,7.7,1,10,57.9,29,6.5,3.2,24.6,1
102,100,Kylen Granson,IND,25,TE,6,2,26,16,61.5%,170,10.6,1,11,46.2,45,6.5,2.7,28.3,0
103,101,Terrace Marshall Jr.,CAR,23,WR,5,2,27,16,59.3%,114,7.1,0,7,44.4,14,4.2,3.2,22.8,1
104,102,Joe Mixon,CIN,27,RB,6,6,21,16,76.2%,104,6.5,0,2,47.6,32,5.0,2.7,17.3,0
105,103,Jaxon Smith-Njigba,SEA,21,WR,5,0,25,16,64.0%,110,6.9,0,4,32.0,18,4.4,3.2,22.0,0
106,104,Nick Westbrook-Ikhine,TEN,26,WR,6,4,23,16,69.6%,168,10.5,2,8,60.9,24,7.3,2.7,28.0,0
107,105,Rachaad White,TAM,24,RB,5,5,17,16,94.1%,98,6.1,0,3,47.1,16,5.8,3.2,19.6,1
108,106,Mike Gesicki,NWE,28,TE,6,4,20,15,75.0%,144,9.6,0,7,60.0,18,7.2,2.5,24.0,0
109,107,Taysom Hill,NOR,33,QB,7,4,19,15,78.9%,115,7.7,0,2,52.6,19,6.1,2.1,16.4,0
110,108,Cooper Kupp,LAR,30,WR,2,2,21,15,71.4%,266,17.7,1,11,61.9,49,12.7,7.5,133.0,0
